clip,early,seizure
Dog_1_test_segment_1062.mat,0.0316981594245,0.328743992496
Dog_1_test_segment_835.mat,0.224698903458,0.48230507993
Dog_1_test_segment_252.mat,0.0962106719189,0.423546346378
Dog_1_test_segment_618.mat,0.0572622136165,0.319583206373
Dog_1_test_segment_1700.mat,0.0720493460124,0.3701663496
Dog_1_test_segment_1469.mat,0.0359875493888,0.336717772186
Dog_1_test_segment_2163.mat,0.0833959451064,0.329170958312
Dog_1_test_segment_390.mat,0.205301063849,0.530005213334
Dog_1_test_segment_2194.mat,0.0780846407524,0.470892011943
Dog_1_test_segment_2891.mat,0.0738038547803,0.398472822469
Dog_1_test_segment_2801.mat,0.055432894613,0.372003525712
Dog_1_test_segment_3108.mat,0.143767270188,0.429886764229
Dog_1_test_segment_2066.mat,0.0616095941033,0.402783288028
Dog_1_test_segment_62.mat,0.182758089762,0.440161835007
Dog_1_test_segment_1889.mat,0.100996555935,0.410612058032
Dog_1_test_segment_1687.mat,0.0480305846184,0.327941653183
Dog_1_test_segment_586.mat,0.0963081431534,0.374170378612
Dog_1_test_segment_102.mat,0.0584288412949,0.468996725239
Dog_1_test_segment_1915.mat,0.0924617335533,0.456081623261
Dog_1_test_segment_1536.mat,0.0771043704931,0.360522868267
Dog_1_test_segment_2381.mat,0.0879343782575,0.376288143124
Dog_1_test_segment_1059.mat,0.0506562751278,0.298827190173
Dog_1_test_segment_1075.mat,0.0595360478009,0.3929712203
Dog_1_test_segment_1220.mat,0.0456558559238,0.248844120727
Dog_1_test_segment_2000.mat,0.0978202761186,0.446086473228
Dog_1_test_segment_2733.mat,0.0680909880794,0.346321121462
Dog_1_test_segment_1341.mat,0.063121326779,0.389516445553
Dog_1_test_segment_2679.mat,0.0374556655168,0.318835580604
Dog_1_test_segment_3149.mat,0.0466732017969,0.353857491194
Dog_1_test_segment_8.mat,0.0484999715913,0.320442211933
Dog_1_test_segment_1038.mat,0.0470845251448,0.40815109122
Dog_1_test_segment_2930.mat,0.113481394269,0.361650837204
Dog_1_test_segment_2420.mat,0.064309444864,0.346176133099
Dog_1_test_segment_1195.mat,0.0248843112571,0.223639163429
Dog_1_test_segment_1287.mat,0.0398280311522,0.290118289764
Dog_1_test_segment_2114.mat,0.0569868881098,0.440648619243
Dog_1_test_segment_2730.mat,0.0535186086037,0.427932363733
Dog_1_test_segment_1644.mat,0.0676643112246,0.360574932705
Dog_1_test_segment_994.mat,0.0544220136532,0.321728719371
Dog_1_test_segment_2817.mat,0.0563325229088,0.247184355293
Dog_1_test_segment_1228.mat,0.0423448075946,0.321433244629
Dog_1_test_segment_1189.mat,0.528406713314,0.416806632454
Dog_1_test_segment_904.mat,0.0611882527545,0.292388842962
Dog_1_test_segment_3168.mat,0.0459913165505,0.260042196619
Dog_1_test_segment_2510.mat,0.0625542849536,0.331884594818
Dog_1_test_segment_361.mat,0.0707096377199,0.374232646926
Dog_1_test_segment_694.mat,0.0666869912872,0.334498904728
Dog_1_test_segment_2881.mat,0.0576992444015,0.309165210365
Dog_1_test_segment_379.mat,0.0756243940536,0.415728845833
Dog_1_test_segment_615.mat,0.367856836195,0.497533142155
Dog_1_test_segment_1243.mat,0.510516050826,0.417354264226
Dog_1_test_segment_443.mat,0.134406830654,0.412798170915
Dog_1_test_segment_228.mat,0.0787276529042,0.438096354201
Dog_1_test_segment_2103.mat,0.141214227796,0.457680557483
Dog_1_test_segment_1053.mat,0.0913014845439,0.399765510107
Dog_1_test_segment_842.mat,0.0396846923547,0.2624498196
Dog_1_test_segment_998.mat,0.0410797442517,0.307766010744
Dog_1_test_segment_420.mat,0.0487373507639,0.317958737238
Dog_1_test_segment_2728.mat,0.0379556754695,0.169467534188
Dog_1_test_segment_1951.mat,0.0275692699646,0.26694745022
Dog_1_test_segment_1632.mat,0.0475575080851,0.370223749662
Dog_1_test_segment_1601.mat,0.0883464720693,0.376056461345
Dog_1_test_segment_2664.mat,0.0630474752353,0.337539538609
Dog_1_test_segment_571.mat,0.13412496325,0.427373496384
Dog_1_test_segment_794.mat,0.0190102778192,0.236254226807
Dog_1_test_segment_2049.mat,0.0872801517901,0.289858555832
Dog_1_test_segment_94.mat,0.0721753768567,0.355963138659
Dog_1_test_segment_2893.mat,0.052820643091,0.345109558667
